,T1,T2,T3,T4,T5,E,STD
R2 training,0.27895820770238267,0.30699850558734443,0.3006733427041921,0.32203366812855094,0.29685696844771037,0.3011041385140361,0.014010389453518905
R2 validation,0.3596914429611263,0.2607236897521078,0.2909078110135944,0.19419575890641705,0.32191624574846145,0.2854869896763414,0.05623181791096117
RMSE training,29.163939837721983,29.677384140188064,29.075181572443427,29.180800139262242,31.188648499896413,29.657190837902426,0.7943235829241507
RMSE validation,31.74117020631963,29.975880187153518,32.21301946096809,32.05099375139596,22.767776411546723,29.74976800347678,3.581292049766276
W1,-0.9802049071590758,1.9178331683711591,2.5081456755300144,1.4574518781846275,2.438429707098576,1.4683311044050602,1.2821704024248126
W2,-7.8129018324078086,-7.204070784388317,-6.414195173242789,-9.901419561121285,-3.949355006307956,-7.056388471493631,1.936718545263276
W3,0.7052712263239176,2.7614535064105032,1.209742494461403,0.34110382827961727,1.2872867403355777,1.2609715591622037,0.8257993075904115
W4,-0.0003264636561349471,0.39314176723280453,-0.6817775357139874,-0.5819218938967061,0.042275499165958685,-0.16572172537361304,0.4055818095150996
W5,0.9936322634748969,8.4640772043011,4.4827579652631195,4.0059188428249355,6.1055392387904455,4.8103851029308995,2.463696326649443
W6,11.631107331565072,6.962047567058999,12.917236547117836,5.535380119281599,8.097464967503376,9.028647306505377,2.801241693860924
W7,7.7621562170762655,16.059647687837096,12.222791163828587,11.776938990885897,13.452196518906286,12.254746115706826,2.6953236616955105
W8,10.308978412348326,21.73149952251565,13.697535705436565,11.327817020683568,15.973197362507563,14.607805604698337,4.066402373536045
W9,17.093453423499973,7.30879226085824,12.74873507095173,14.181825635537185,8.039845316676725,11.874530341504771,3.7114896491662264
W10,8.011392536528987,5.672594237570415,4.583614350376315,5.493212412077719,5.320280788320653,5.816218864974817,1.1583623885277763
W11,-1.2629102873746136,-2.4715666246422785,-2.8194503931188204,-2.3414345438014523,-1.7779799869690402,-2.1346683671812405,0.5499759742039902
W12,25.91009412303737,14.044678072315884,15.877807396722659,13.189001941065388,13.141550707688426,16.432626448165944,4.8411733004804764
W13,27.31672297259005,16.808863811809143,16.513123493540252,14.413010974392924,14.915070014504021,17.993358253367276,4.750031512179959
W14,13.388495606152418,12.161673132833997,14.923080714222039,14.72712928752213,13.753363282241219,13.790748404594362,0.9976048135036416
W15,-1.9059417216595247,-1.9800469688570153,-2.1122573914160143,-1.7235979967114397,-1.8816624810313458,-1.920701311935068,0.12712767698434863
W16,-4.038147830954564,-1.956949501066855,-4.159524448164473,-1.5653740080171463,-4.495970705351691,-3.2431932987109455,1.225607391751954
W17,11.85738848410579,17.53059738338449,14.008736761903464,10.626500598175035,22.393778956469006,15.283400436807558,4.258084505990895
W18,32.035211119622936,25.690766661504107,23.558454156026684,14.273188751385199,29.434709450736392,24.998466027855063,6.1119640739961065
W19,-7.427718630935331,3.2428781160828226,2.750082183902505,2.559337110595764,7.003361065010238,1.6255879689311996,4.80904992661202
W20,1.109920278394351,7.908446263834261,5.060731079783945,5.109480411669369,6.685552463429244,5.174826099422234,2.293282381933215
W21,-15.253234253996752,-4.148359684793367,-13.456375102152373,-11.57091035722865,-7.112367647304487,-10.308249409095126,4.10160419388414
W22,6.2141865941725545,13.420209405355383,12.045967578104968,11.954358010521004,12.70965610293297,11.268875538217376,2.5817716639121384
W23,9.224289607094736,18.51913491402666,13.254816941509457,11.791942458623735,15.908168507494931,13.739670485749906,3.2237573046932364
W24,4.149063125934641,-0.3400650008178302,1.4334093444191047,6.711941102925744,-1.2720491092977715,2.136459892632778,2.940441780342089
W25,-6.3201750686794504,-0.08401306357906645,-1.8222253186014814,-5.722238082199422,-2.6339252481386883,-3.3165153562396212,2.364630057605255
W26,-7.807930415943052,-7.7234478779552935,-7.5122297415986425,-5.779425824203713,-8.118382765407743,-7.388283325021689,0.8276798080700659
W27,5.126299715481094,5.916876452850354,8.033428810968823,6.446409827098571,4.0551140660530285,5.915625774490374,1.3305158714333665
W28,-9.687991068829223,0.7707366528823881,0.3501326793956048,4.93804870970274,-2.13872690854057,-1.1535599870778122,4.834847949227968
W29,-2.914703394348466,2.1468232326643655,7.385236979721855,4.630993419897038,6.138318872975275,3.4773338221820134,3.6417544454008537
W30,43.347173406349,42.86349521242523,42.04602954820527,46.07938945166,40.637924870374185,42.99480249780274,1.795055753833316
W31,174.56770399532013,174.50106733323472,176.26223182537967,166.98362696923866,176.24985563494602,173.71289715162385,3.4516735010039103
W32,-55.14574458227065,-55.353057047595726,-54.48680491918524,-55.915216000338006,-54.70641477612928,-55.12144746510378,0.5018615606200529
W33,52.11817044151078,53.052999246337784,51.09452501846528,56.039336584530744,51.34447808972488,52.729901876113885,1.7902414296639666
W34,118.01640681521054,117.78937400732367,118.04920146624373,114.71324121335009,117.29804979341417,117.17325465910844,1.2589703250969473
W35,-18.078117165593838,-20.001718740232516,-19.851681716140877,-20.38234218178748,-20.082941868676606,-19.67936033448626,0.8191032680474101
W36,2.898376400881953,0.7060724737187432,-0.1967639457036282,0.8292063909060595,1.2729997163084212,1.1019782072223097,1.0172680885723175
W37,14.150536584580282,12.69848979225504,11.558788875494796,73.09617956327568,11.59955429897772,24.620709822916705,24.25613033715003
W38,0.9789224986751517,0.534523884512696,0.3777365077135375,0.991452966400021,0.7914576240778307,0.7348186962758474,0.24342616297276243
W39,8.261022179532102,6.830563896375716,7.38542669692265,6.014014939949846,7.2551480079348005,7.149235144143023,0.7339415061900006
W40,-4.32573087279537,-4.981318331834419,-4.884457197983293,-4.48982345387764,-4.863940082685835,-4.709053987835312,0.25451227831474726
W41,-4.402703014588973,-4.689176015829273,-4.702160878419393,-5.105910747854338,-5.0334332535541035,-4.786676782049216,0.2556889800639293
W42,-3.9912492594306515,-4.908374133250298,-4.926911531684475,-4.439033325331901,-5.060138297854661,-4.665141309510397,0.39723136639307216
W43,-3.1012979773239495,-4.475931199874925,-3.256476344628325,-3.0474789292210094,-3.9895550052188318,-3.574147891253408,0.5634995393517203
W44,-3.6611558634410213,-4.107235357734359,-3.5511508722795626,-3.635340061121616,-4.175224727300244,-3.8260213763753605,0.2608133734963854
W45,-3.6848245245486853,-3.787297917136644,-3.3708785050203436,-3.6802205698520742,-3.569960051751226,-3.6186363136617947,0.14168524734355728
W46,-4.72903857608833,-4.856633988309266,-4.468401829211373,-4.487653630890065,-5.282571896021265,-4.764859984104061,0.29747674353657716
W47,-4.144972627249868,-5.188285483691951,-5.2620412058977655,-4.206576416433297,-5.0797733283327595,-4.776329812321128,0.4941521684058599
W48,-3.0582845977883504,-3.74819727606693,-3.82083271301827,-3.681370570222214,-3.8086911177522196,-3.623475254969597,0.286915601218727
W49,-4.054297275608914,-5.004849724479753,-4.577433509936644,-4.178681410804904,-4.546589530089474,-4.472370290183938,0.33499830657832064
W50,-3.3179610070104584,-4.344375791796879,-3.451683290408954,-2.8791496610591634,-3.665211416822551,-3.5316762334196015,0.4808692574827714
W51,-4.327949234382888,-4.222364929247805,-4.698861775048373,-4.342629495498071,-4.813712360549147,-4.481103558945256,0.23135438075049858
W52,-4.04583980753865,-4.424499867421321,-4.6381941428775475,-4.38154803436795,-4.133154461594194,-4.324647262759933,0.21256668435293888
W53,-4.369833977655664,-5.027751188547918,-5.139849214541531,-4.922131381617886,-5.512523576933402,-4.994417867859281,0.3704120096962716
W54,-30.834043136601537,-35.12883882352533,-34.72712002426006,-31.255470069609462,-34.51897036006082,-33.29288848281144,1.8508379056419528
